ds,yhat,yhat_lower,yhat_upper
2018-03-01,7443.5613785376345,-4108.572225873276,20007.465770527604
2018-03-02,7435.599347454545,-5119.3530086627525,20920.234691673657
2018-03-03,7395.5582127834305,-4337.807178882338,19608.392154185363
2018-03-04,7387.215580957818,-3892.156367504789,19654.439428612557
2018-03-05,7482.829395734883,-4784.369780681311,20104.404342452006
2018-03-06,7413.974650155089,-4865.042128500076,19734.261943959176
2018-03-07,7570.564326846136,-4307.97954210076,19741.78711277532
2018-03-08,7459.110689134603,-3887.6025153039836,19914.931200588166
2018-03-09,7500.733873912878,-4497.820392930689,20176.236395941934
2018-03-10,7514.619645104719,-5356.674346559325,19872.81340978178
2018-03-11,7562.639957013953,-5478.7537536089,19351.98983597126
2018-03-12,7715.029939893539,-3916.0977986571743,19316.988332641184
2018-03-13,7701.2921702132,-3929.375010208154,19501.943860987845
2018-03-14,7909.287127245951,-4760.651519975465,20554.427430305488
2018-03-15,7843.563824652285,-4849.806632117876,20210.12438089296
2018-03-16,7923.435432863941,-4918.618433473716,19467.503109966572
2018-03-17,7966.499677979782,-3657.4798338444343,20250.874161520194
2018-03-18,8033.315717047627,-3440.790833281618,19900.73177649283
2018-03-19,8193.129334517833,-4330.49016716407,19807.508777084648
2018-03-20,8174.815789624265,-4172.917963573366,19620.89942493187
2018-03-21,8365.997964637225,-4087.291874301759,20266.404971043747
2018-03-22,8271.392869994217,-4035.6046336648783,20721.808108212932
2018-03-23,8310.890737306154,-4373.5590907408405,20811.09137945271
2018-03-24,8303.066267585098,-3568.0330540786535,20577.873891406456
2018-03-25,8309.83389065042,-3747.804175325937,20697.9697285338
2018-03-26,8402.139407973085,-3908.7403837774364,20699.28703943999
2018-03-27,8310.858233773723,-2879.0998621241197,20303.167107449342
2018-03-28,8425.85910250232,-3844.445814415136,20976.564663769906
2018-03-29,8254.287815891006,-4000.239850608721,19719.374716595576
2018-03-30,8218.577033659834,-3769.887651008338,20305.457314824416
2018-03-31,8139.88365361945,-4506.954956431278,19810.543456938023
2018-04-01,8082.6677639593945,-3743.8870833001665,20525.990273453135
2018-04-02,8120.307754032442,-3857.1273120037163,20630.1057783737
2018-04-03,7985.92403557768,-4048.993832984487,20317.33256467263
2018-04-04,8071.372437796893,-3355.8077362803124,20989.058231941333
2018-04-05,7885.46393899375,-4644.741801095781,19423.029203422502
2018-04-06,7851.918661444272,-4052.1764847655445,19756.5580507093
2018-04-07,7792.757374458491,-3203.933262776552,20669.25037856744
2018-04-08,7772.845914068692,-4405.351270114233,19785.344988222543
2018-04-09,7865.488307671547,-4784.136221679258,19697.213090472214
2018-04-10,7803.241353275279,-3956.0836631427915,20182.387855546895
2018-04-11,7976.913028412194,-4748.248388100268,20257.492164782205
2018-04-12,7893.800467820189,-4419.83890277307,19468.11108781915
2018-04-13,7975.675512303557,-4521.191788605433,19757.92439972028
2018-04-14,8042.22021634387,-4397.178531821354,19903.407573563356
2018-04-15,8155.626599899466,-4102.920687287477,20200.80202905245
2018-04-16,8386.254889762904,-3165.192687963656,20569.50881065341
2018-04-17,8463.521724516899,-3369.4744745517696,20660.53785835191
2018-04-18,8774.97779643453,-3349.1303271235065,20298.839374346026
2018-04-19,8824.629433316399,-2877.785400421821,20751.09409628109
2018-04-20,9031.009376480251,-3268.6639937926216,20940.480231251855
2018-04-21,9210.696892405676,-2936.9038228214854,22330.798528955846
2018-04-22,9422.999168365772,-2211.2226671787494,21980.251573064215
2018-04-23,9735.68597586924,-2849.1105848380334,21956.52414605309
2018-04-24,9875.946951959551,-1482.1467987983538,21829.922783240145
2018-04-25,10229.529045694255,-2132.876962489389,21483.78533471407
2018-04-26,10299.106959303563,-1713.1018504827068,22349.386050830173
2018-04-27,10502.390467084795,-1173.062873699884,23135.194742510903
2018-04-28,10655.667715692374,-1314.8925843698385,23486.03456602631
2018-04-29,10818.495791322766,-1405.3155132078516,22759.584730181457
2018-04-30,11059.430260799076,-1159.8722926907028,23351.508618030097
2018-05-01,11106.963156008344,-777.7077416774059,23598.064641882
2018-05-02,11348.62746146425,-392.9770402448981,24001.54303586196
2018-05-03,11289.321825837003,-419.44863438149355,22413.597222141914
2018-05-04,11349.360625714835,-27.581284351910064,24304.189490570054
2018-05-05,11347.950049438405,-769.3209474064513,22776.09164111452
2018-05-06,11347.80332563373,-840.0459167264929,23824.070548755255
2018-05-07,11420.78886584879,144.64470688498685,25276.771024441925
2018-05-08,11298.783018412669,-590.5533471790866,23548.85337017681
2018-05-09,11372.687823608416,-1816.2576618761923,23971.423000791485
2018-05-10,11150.669858604864,-1444.9807992032377,23622.083584838303
2018-05-11,11056.127638824255,-328.3913684056405,23145.120444037784
2018-05-12,10911.090487436148,-1172.0737064644065,23362.768045260113
2018-05-13,10780.76408416159,-964.3965523705539,22458.978069096054
2018-05-14,10739.118333982404,-1357.8842700575397,22331.987096882847
2018-05-15,10519.690856796766,-2118.3227293155414,23505.693736935278
2018-05-16,10514.56778056096,-1590.3895817496787,22519.585586348283
2018-05-17,10232.59887199702,-1955.0051813482619,23172.669276115208
2018-05-18,10097.355045010485,-2250.950855423235,22312.197481293424
2018-05-19,9930.531344939616,-3259.2777432819807,21799.354419041374
2018-05-20,9796.5104154434,-2396.6942205854484,21558.55199962197
2018-05-21,9767.981500620224,-2497.1443337387523,21680.6917350764
2018-05-22,9576.787329909735,-3364.3927325831337,21118.917879589768
2018-05-23,9612.95927759975,-2902.700136693223,20942.34374634104
2018-05-24,9382.996240939407,-2132.999440953089,21679.426807536176
2018-05-25,9307.893433611302,-2495.4727498887255,20755.386091235207
2018-05-26,9206.622149119468,-4228.038861753904,20718.162815004027
2018-05-27,9140.773315653914,-3232.273555278949,22118.28768714304
2018-05-28,9180.257630494187,-3587.98212570729,21133.42573897709
2018-05-29,9054.232341824769,-3412.0932980705097,21578.27359119375
2018-05-30,9150.212839497715,-2736.7374963634215,21154.582821219738
2018-05-31,8972.422380406688,-3083.946555012334,22898.680127730633
2018-06-01,8939.884198124977,-2891.110236719979,22046.72592601366
2018-06-02,8869.955329460632,-3756.033221164108,21183.731557577248
2018-06-03,8823.013530168757,-3548.5575071402673,21358.13998582619
2018-06-04,8868.18893044057,-2680.875095074998,21996.576490740088
2018-06-05,8734.309702759854,-4454.926067608582,20646.376543532973
2018-06-06,8809.019470831858,-4780.314925183703,21031.79959948517
2018-06-07,8597.119724809405,-3795.216987809136,20128.095800426338
2018-06-08,8518.641803599285,-3481.199107242052,19714.198054541856
2018-06-09,8392.348448289229,-4701.23554134709,21227.36121710811
2018-06-10,8280.377308964666,-3550.8890166058914,21538.00829165314
2018-06-11,8253.919373140256,-3770.5860692167435,21295.93748602703
2018-06-12,8044.103173924375,-4388.867953702704,20385.00651272345
2018-06-13,8041.0443129243,-4871.684216799284,19827.10917611371
2018-06-14,7752.115537241501,-4401.946355903325,19956.4312324548
2018-06-15,7599.944015697147,-4957.739478751878,19021.45412070244
2018-06-16,7405.837952706491,-5006.17066597592,19777.482591469645
2018-06-17,7234.357045219196,-4982.029711480917,19482.243312917213
